Year,Month,Day,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
2015,1,3,Weekday,1000,2-Car,No injury/unknown,UNSAFE BACKING,RAPPEL,39.18768311,-86.54618835
2015,1,4,Weekday,1700,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,FESS & THIRD,39.16427777,-86.52588752
2015,1,4,Weekday,1800,2-Car,No injury/unknown,UNSAFE BACKING,S COLLEGE MALL,39.15412578,-86.49786768
2015,1,3,Weekday,1800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR37S & VICTOR,39.105552,-86.551104
2015,1,4,Weekday,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,EAST KERR CREEK & SR46E,39.16664,-86.462496
2015,1,4,Weekday,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR37N & WAYPORT,39.263024,-86.52264
2015,1,5,Weekday,700,1-Car,No injury/unknown,IMPROPER TURNING,RHORER & S OLD ST RD 37,39.12141994,-86.53134987
2015,1,5,Weekday,600,2-Car,Non-incapacitating,IMPROPER TURNING,S COLLEGE & W 4TH,39.165664,-86.5348
2015,1,5,Weekday,900,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,E 3RD & SR46E,39.16424,-86.473296
2015,1,5,Weekday,900,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,E 1ST & S EASTSIDE,39.159248,-86.51256
2015,1,5,Weekday,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E 8TH & N WALNUT,39.169552,-86.533552
2015,1,5,Weekday,800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,JORDAN & LAW,39.173552,-86.515488
2015,1,7,Weekend,0,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,EAST 3RD & PETE ELLIS,39.16424,-86.495088
2015,1,5,Weekday,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,FOURTH & SR46W,0,0
2015,1,4,Weekday,2200,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,S ROCKPORT & VICTOR,39.053744,-86.606304
2015,1,5,Weekday,1800,Cyclist,Incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,ATWATER & HIGH,39.16311481,-86.50846175
2015,1,5,Weekday,2000,2-Car,No injury/unknown,LEFT OF CENTER,CHAFIN CHAPEL & W STATE ROAD 46,39.25962636,-86.65763204
2015,1,6,Weekday,700,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RHORER & S WALNUT ST,39.12144,-86.526496
2015,1,6,Weekday,800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,100 BLK W TAPP & S WALNUT,0,0
2015,1,6,Weekday,800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SO PATTERSON & W 3RD,39.16344009,-86.55127137
2015,1,1,Weekend,1300,2-Car,No injury/unknown,IMPROPER LANE USAGE,CURRY & SR46W,39.15835953,-86.58264923
2015,1,5,Weekday,1300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,2ND & PATTERSON,39.16074984,-86.54850997
2015,1,6,Weekday,700,2-Car,No injury/unknown,LEFT OF CENTER,SR48 & STONE CHASE,39.16475122,-86.59523284
2015,1,6,Weekday,1200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,HENDERSON & HILLSIDE,39.15063632,-86.52720688
2015,1,6,Weekday,1300,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,THIRD,39.164752,-86.573104
2015,1,6,Weekday,1500,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,PATTERSON & THIRD,39.16344009,-86.55127137
2015,1,6,Weekday,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E ATWATER & S HIGHLAND,39.16305989,-86.51773028
2015,1,6,Weekday,1500,2-Car,No injury/unknown,RAN OFF ROAD RIGHT,MOORES CREEK & SNOODY,39.12134014,-86.48974361
2015,1,4,Weekday,0,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,ACUFF & SR37N,39.20824,-86.554704
2015,1,4,Weekday,800,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,SR37S,0,0
2015,1,7,Weekend,1100,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,BURKS & WALNUT,39.15836229,-86.53136998
2015,1,6,Weekend,2100,1-Car,No injury/unknown,IMPROPER TURNING,MITCHELL & THIRD,39.16427137,-86.51420373
2015,1,1,Weekend,1800,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,BETHEL,39.21258773,-86.46348219
2015,1,7,Weekend,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,CURRY & GIFFORD,39.15648401,-86.58270442
2015,1,7,Weekend,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,3RD & GRANT,39.16464,-86.529728
2015,1,6,Weekend,2000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,RUSSELL & TIMBERCREST,39.193408,-86.48584
2015,1,7,Weekend,1700,2-Car,No injury/unknown,IMPROPER TURNING,S COLLEGE,39.16115717,-86.53485253
2015,1,1,Weekend,100,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,7TH & N ROGERS,39.168704,-86.538576
2015,1,1,Weekend,1000,2-Car,No injury/unknown,IMPROPER LANE USAGE,7TH & WALNUT,39.16864,-86.533568
2015,1,1,Weekday,2000,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,S LIBERTY & SR45W,39.14547579,-86.57703014
2015,1,1,Weekend,1800,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S CLARIZZ,39.15263367,-86.49272918
2015,1,2,Weekday,200,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E SAMPLE & N OLD STATE 37,39.25864,-86.5012
2015,1,1,Weekend,1200,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,WEST 11TH,39.17344,-86.52237094
2015,1,2,Weekday,600,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,BLOOMFIELD & SR37,39.148144,-86.572992
2015,1,2,Weekday,600,2-Car,No injury/unknown,ROADWAY SURFACE CONDITION,WEST 2ND,39.16025543,-86.54006195
2015,1,2,Weekday,700,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,TYLER LANE,39.1316,-86.576944
2015,1,2,Weekday,1400,3+ Cars,Incapacitating,FOLLOWING TOO CLOSELY,BLOOMFIELD & RANSOM,39.15944,-86.555296
2015,1,2,Weekday,1500,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,S WEIMER & W TAPP,39.136512,-86.562016
2015,1,3,Weekday,300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,CHANDLER & RENEE,39.23488,-86.616736
2015,1,3,Weekday,700,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E 10TH & N WASHINGTON,39.171728,-86.5324
2015,1,1,Weekend,1100,1-Car,Non-incapacitating,ANIMAL/OBJECT IN ROADWAY,DELAP,39.250778,-86.615867
2015,1,2,Weekday,800,1-Car,No injury/unknown,OVERCORRECTING/OVERSTEERING,SHUFFLE CREEK & SR45E,39.22993318,-86.4157437
2015,1,3,Weekday,900,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,SR37 & SR45W,39.187344,-86.5552
2015,1,3,Weekday,1100,Pedestrian,Non-incapacitating,PEDESTRIAN ACTION,6TH & INDIANA,39.167744,-86.526928
2015,1,3,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S WALNUT,39.13432546,-86.52733091
2015,1,3,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,ROGERS & W 2ND,39.16152,-86.538592
2015,1,3,Weekday,1800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,RAMP 15 SB SR 37 TO SR 45 WEST & SR45W,0,0
2015,1,3,Weekday,1700,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,3RD & SR37,39.164752,-86.573104
2015,1,3,Weekday,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,9TH & COLLEGE,39.170544,-86.534768
2015,1,3,Weekday,2300,Pedestrian,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,THIRD & WOODLAWN,39.16426449,-86.5226336
2015,1,4,Weekday,800,2-Car,No injury/unknown,LEFT OF CENTER,S CURRY,39.142048,-86.582592
2015,1,3,Weekday,1200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S ROGERS & W 4TH,39.165696,-86.538592
2015,1,4,Weekday,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,PARK & WILSON,39.151552,-86.523664
2015,1,4,Weekday,1100,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,COLLEGE & KIRKWOOD,39.16718927,-86.53479128
2015,1,4,Weekday,1200,2-Car,Non-incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S HIGHLAND & WINSLOW FARM,39.136048,-86.518496
2015,1,3,Weekday,1800,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,SR37S & VICTOR,39.105552,-86.551104
2015,1,4,Weekday,2000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,10TH & WOODLAWN,39.17108301,-86.52351178
2015,1,5,Weekday,700,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,3RD & WALNUT,39.16464,-86.5336
2015,1,3,Weekday,1100,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,3RD,39.16424,-86.48599111
2015,1,5,Weekday,700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S WALNUT,39.142555,-86.531238
2015,1,5,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,3RD & LIBERTY,39.16461021,-86.57913006
2015,1,5,Weekday,900,1-Car,No injury/unknown,UNSAFE BACKING,2418 E GOLDIN & E GOLDIN,39.128067,-86.50872634
2015,1,5,Weekday,0,2-Car,No injury/unknown,UNSAFE BACKING,NORTH FEE,39.17658828,-86.51891313
2015,1,5,Weekday,800,1-Car,No injury/unknown,UNSAFE LANE MOVEMENT,FOREST & KIRKWOOD,39.16608943,-86.5196257
2015,1,5,Weekday,1500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,N WALNUT & SR46E,39.186368,-86.5344
2015,1,5,Weekday,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,S HARMONY & SR45,39.111024,-86.638304
2015,1,5,Weekday,1700,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,COLLEGE MALL & EASTLAND PLAZA,0,0
2015,1,4,Weekday,2200,2-Car,No injury/unknown,IMPROPER TURNING,WEST 2ND,39.16144,-86.52709845
2015,1,5,Weekday,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SOUTHERN & WALNUT,39.14984,-86.533392
2015,1,5,Weekday,1400,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,BETHAL & OLD SR 37,0,0
2015,1,6,Weekday,1000,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR37N & VERNAL,39.17635934,-86.56266121
2015,1,5,Weekday,1100,2-Car,No injury/unknown,UNSAFE BACKING,S FRANKLIN & W 3RD,39.164688,-86.5712
2015,1,5,Weekday,1200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,COLLEGE MALL & SR46E,39.16424,-86.4984
2015,1,5,Weekday,1600,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,GRIMES & WASHINGTON,39.15344,-86.5324
2015,1,6,Weekday,1700,2-Car,No injury/unknown,IMPROPER TURNING,17TH & JORDAN,39.178848,-86.511088
2015,1,6,Weekday,1600,2-Car,No injury/unknown,UNSAFE BACKING,LAW,39.17302832,-86.51339918
2015,1,6,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,S GATES & WEST 3RD,39.16459009,-86.57619975
2015,1,6,Weekend,1900,2-Car,No injury/unknown,,US45W,39.125312,-86.610496
2015,1,7,Weekend,200,Pedestrian,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,DUNN & KIRKWOOD,39.16664,-86.528192
2015,1,6,Weekday,1200,3+ Cars,No injury/unknown,DISREGARD SIGNAL/REG SIGN,KIMBLE & W 3RD,39.16464,-86.568
2015,1,7,Weekend,100,2-Car,No injury/unknown,IMPROPER LANE USAGE,HOPEWELL & W 8TH,39.16968,-86.552192
2015,1,7,Weekend,700,Bus,Incapacitating,BRAKE FAILURE OR DEFECTIVE,17TH & COLLEGE,39.17896,-86.53472
2015,1,7,Weekend,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,INDIANA & THIRTEENTH,39.17524746,-86.52701896
2015,1,7,Weekend,900,2-Car,No injury/unknown,IMPROPER LANE USAGE,JORDAN & THIRD,39.16427532,-86.51640856
2015,1,7,Weekend,1200,2-Car,No injury/unknown,IMPROPER TURNING,JORDAN & THIRD,39.16427532,-86.51640856
2015,1,6,Weekday,1600,2-Car,No injury/unknown,IMPROPER TURNING,W 3RD,39.228944,-86.627504
2015,1,6,Weekday,1800,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,4TH & WASHINGTON,39.165648,-86.5324
2015,1,6,Weekday,1800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,KOONTZ & W DUVALL,39.079248,-86.619792
2015,1,7,Weekend,1500,2-Car,No injury/unknown,UNSAFE BACKING,E 10TH,39.17168,-86.527024
2015,1,7,Weekend,1700,1-Car,No injury/unknown,IMPROPER TURNING,INDIANA & SEVENTH,39.16851475,-86.52695381
2015,1,7,Weekend,1600,Moped/Motorcycle,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E GRAMERCY PARK & N HINKLE,39.21040021,-86.50542967
2015,1,7,Weekend,1800,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,NORTH KINSER & SR46E,39.186544,-86.537888
2015,1,4,Weekday,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SR37S & WEST WAYSIDE,39.10921097,-86.53382873
2015,1,7,Weekend,1500,2-Car,No injury/unknown,UNSAFE BACKING,S COLLEGE MALL,39.175152,-86.534752
2015,1,7,Weekend,1500,3+ Cars,No injury/unknown,UNSAFE LANE MOVEMENT,S WALNUT & W COUNTRY CLUB,0,0
2015,1,7,Weekend,1600,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,E 3RD & OVERHILL,39.164272,-86.501488
2015,1,5,Weekday,1500,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,NORTH TEXAS RIDGE,39.31562042,-86.66162872
2015,1,6,Weekday,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,EAST SMITHVILLE,39.071056,-86.5356
2015,1,6,Weekend,1900,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SOUTH BREEDEN & SR45W,39.0873344,-86.67042215
2015,1,7,Weekend,1100,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,GATES & SR45W,39.16820908,-86.57639312
2015,1,1,Weekend,800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,CAVE ROAD & W AIRPORT ROAD,39.13688,-86.628768
2015,1,1,Weekend,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,MILLER & S WALNUT,39.146944,-86.532544
2015,1,1,Weekend,1200,2-Car,No injury/unknown,BRAKE FAILURE OR DEFECTIVE,2101 S LIBERTY & W 2ND,0,0
2015,1,7,Weekend,2100,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,N MARY & W REEVES,39.231312,-86.636704
2015,1,1,Weekend,1400,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,E 3RD & S JEFFERSON,39.164304,-86.506992
2015,1,6,Weekday,700,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,BURMA & SR37,39.31831096,-86.51055935
2015,1,1,Weekend,800,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,GETTYS CREEK & SR46,39.16351024,-86.41786097
2015,1,1,Weekend,900,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,GETTYS CREEK & SR46,39.16351024,-86.41786097
2015,1,1,Weekend,900,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,GETTYS CREEK & SR46,39.16351024,-86.41786097
2015,1,1,Weekday,2200,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S MONON,39.1506691,-86.53471374
2015,1,2,Weekday,200,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E 14TH,39.17600327,-86.53063151
2015,1,2,Weekday,200,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,JORDAN & THIRD,39.16427532,-86.51640856
2015,1,1,Weekend,0,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,S ROCKPORT & W MAY,39.093344,-86.5868
2015,1,6,Weekend,2200,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,ANNE & STRAIN RIDGE,39.04934026,-86.51109208
2015,1,7,Weekend,2300,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,E WINDEMERE DR,39.164032,-86.570272
2015,1,2,Weekday,300,3+ Cars,No injury/unknown,UNSAFE SPEED,E 13TH & INDIANA,39.175504,-86.527104
2015,1,2,Weekday,1000,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,WEST 2ND,39.16122743,-86.51884571
2015,1,5,Weekday,700,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,W BEECH & W WOODLAND,39.208544,-86.591504
2015,1,2,Weekday,1500,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,W SR 45,39.2512,-86.652504
2015,1,2,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR37S & W VERNAL,39.17662048,-86.56252288
2015,1,2,Weekday,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,BLOOMFIELD & LANDMARK,39.15993981,-86.55382007
2015,1,3,Weekday,1800,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,SR37S & VICTOR,39.105552,-86.551104
2015,1,3,Weekday,0,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OLD STATE ROAD 37 & ORCHARD,39.11584,-86.5312
2015,1,1,Weekend,900,1-Car,Incapacitating,SPEED TOO FAST FOR WEATHER CONDITIONS,FRIENDSHIP & SR46,39.15149145,-86.40317983
2015,1,1,Weekend,1300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SO KINGSTON,39.16742706,-86.49314117
2015,1,6,Weekday,1000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,7TH & GRANT,39.16864,-86.529696
2015,1,7,Weekend,1500,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,BLOOMFIELD & CORY,39.157248,-86.559792
2015,1,7,Weekend,1800,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,KIRKWOOD & MADISON,39.166656,-86.537296
2015,1,7,Weekend,1900,2-Car,No injury/unknown,UNSAFE BACKING,S WALNUT,39.14705763,-86.53257665
2015,1,7,Weekend,2300,1-Car,No injury/unknown,LEFT OF CENTER,SR37S & WAYSIDE,39.10921097,-86.53382873
2015,1,6,Weekday,1300,2-Car,No injury/unknown,IMPROPER LANE USAGE,VERNAL,39.176544,-86.5624
2015,2,1,Weekend,100,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,JEFFERSON & TENTH,39.17145984,-86.50680459
2015,1,7,Weekend,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,9TH & COLLEGE,39.170544,-86.534768
2015,2,1,Weekend,1100,2-Car,No injury/unknown,UNSAFE BACKING,NORTH WALNUT,39.19396833,-86.53335146
2015,1,7,Weekend,1900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,EAST RHORER & SOUTH WALNUT STREET,39.12144,-86.526496
2015,2,1,Weekend,1500,2-Car,Incapacitating,IMPROPER TURNING,ATWATER & JORDAN,39.163168,-86.516384
2015,2,1,Weekend,1800,1-Car,No injury/unknown,IMPROPER TURNING,SR45E,39.21936967,-86.44920774
2015,1,7,Weekend,1800,1-Car,Incapacitating,RAN OFF ROAD RIGHT,HARRODSBURG & W POPCORN,38.85405138,-86.54503986
2015,1,7,Weekend,300,1-Car,No injury/unknown,DRIVER ASLEEP OR FATIGUED,E CHAMBERS & SR37,39.30651541,-86.51481628
2015,2,2,Weekday,900,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,1425 S CURRY & GIFFORD,39.156896,-86.582704
2015,2,2,Weekday,1000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,BUICK CADILLAC & COLLEGE MALL,39.15816,-86.497792
